,0
0,CB_1242
1,CB_Achilles_Heel
2,CB_CLASS_ACT
3,CB_Demographics
4,CB_FDM_Airedale_SUS
5,CB_FDM_Calderdale_SUS
6,CB_FDM_MASTER
7,CB_FDM_NCMP
8,CB_FDM_PrimaryCare_V7
9,CB_FDM_SUS_BRI
10,CB_FDM_TEST_JDB
11,CB_FDM_Template
12,CB_FDM_Warehouse_ALL
13,CB_LOOKUPS
14,CB_MYSPACE_AH
15,CB_MYSPACE_JDB
16,CB_MYSPACE_KB
17,CB_MYSPACE_TM
18,CB_SAM_TEST
19,CB_STAGING_DATABASE
20,CB_STAGING_DATABASE_DFE_Education
21,CB_STAGING_DATABASE_NonIdentifiable
22,CB_STAGING_DATABASE_PrimaryCare
23,CB_STAGING_DATABASE_SUS_Airedale_FDM_Format
24,CB_STAGING_DATABASE_SUS_Calderdale_FDM_Format
25,CB_STAGING_DATABASE_WAREHOUSE_FDM_Format
26,CY_CDM_Analysis
27,CY_CLASS_ACT
28,CY_FDM_MASTER
29,CY_FDM_SUS_BRI
30,CY_LOOKUPS
31,CY_SAM_TEST
32,CY_STAGING_DATABASE
33,MY_SPACE_TEST_AK
34,MY_SPACE_TEST_RS
35,Macmillan_analysis_uk
36,Macmillan_uk
37,Rotherham
38,SAS_Model_uk
39,SAS_model_analysis_uk
40,Synthetic_academy_data_uk
41,yhcr_prd_phm_bia_core_bq_audit
